Organization,entity_and_date,,,grant_amount
Cleveland Park Neighborhood Story Project,Metro Arts & ABC 2004-05,Metro,2004-05,0
Community Concerts Inc.,Metro Arts & ABC 2004-05,Metro,2004-05,0
Community Resource Center,Metro Arts & ABC 2004-05,Metro,2004-05,0
Concert Chorale,Metro Arts & ABC 2004-05,Metro,2004-05,0
Conexion Americas,Metro Arts & ABC 2004-05,Metro,2004-05,0
Country Music Foundation (DBA Country Music Hall of Fame and Museum),Metro Arts & ABC 2004-05,Metro,2004-05,"42,807"
Creative Artists of Tennessee (CATS),Metro Arts & ABC 2004-05,Metro,2004-05,"3,000"
Cultural Arts Enrichment Program,Metro Arts & ABC 2004-05,Metro,2004-05,0
Cumberland Garden Communitiy Mural,Metro Arts & ABC 2004-05,Metro,2004-05,0
Cumberland View Community Mural,Metro Arts & ABC 2004-05,Metro,2004-05,0
Cumberland Science Museum,Metro Arts & ABC 2004-05,Metro,2004-05,0
Curating a Public Self,Metro Arts & ABC 2004-05,Metro,2004-05,0
Dancing Through the Curriculum,Metro Arts & ABC 2004-05,Metro,2004-05,0
Davidson County 4-H,Metro Arts & ABC 2004-05,Metro,2004-05,0
Destellos,Metro Arts & ABC 2004-05,Metro,2004-05,0
Discover Madison,Metro Arts & ABC 2004-05,Metro,2004-05,0
"Dr. George W. Carver's Theatre of Arts, Life, and Longevity",Metro Arts & ABC 2004-05,Metro,2004-05,0
Drum and a Dream,Metro Arts & ABC 2004-05,Metro,2004-05,0
Drumnastics,Metro Arts & ABC 2004-05,Metro,2004-05,0
EarthTone,Metro Arts & ABC 2004-05,Metro,2004-05,0
East Nashville Center For Creative Arts,Metro Arts & ABC 2004-05,Metro,2004-05,"24,000"
East Nashville Hope Exchange,Metro Arts & ABC 2004-05,Metro,2004-05,0
Eco Poetic Way,Metro Arts & ABC 2004-05,Metro,2004-05,0
Edgehill Center,Metro Arts & ABC 2004-05,Metro,2004-05,0
Edgehill United Methodist Church,Metro Arts & ABC 2004-05,Metro,2004-05,0
Educating Our Youth,Metro Arts & ABC 2004-05,Metro,2004-05,0
End of Rodney Productions,Metro Arts & ABC 2004-05,Metro,2004-05,0
Epiphany,Metro Arts & ABC 2004-05,Metro,2004-05,0
Facing Nashville,Metro Arts & ABC 2004-05,Metro,2004-05,0
Faith and Culture Center,Metro Arts & ABC 2004-05,Metro,2004-05,0
Family & Children's Services,Metro Arts & ABC 2004-05,Metro,2004-05,"14,800"
L.A.S. Therapy Network,Metro Arts & ABC 2004-05,Metro,2004-05,0
FiftyForward,Metro Arts & ABC 2004-05,Metro,2004-05,"1,000"
"Fisk University, Department of Music",Metro Arts & ABC 2004-05,Metro,2004-05,0
"Fisk University, T.O.P.S.",Metro Arts & ABC 2004-05,Metro,2004-05,0
"Fisk University, Van Vechten Gallery",Metro Arts & ABC 2004-05,Metro,2004-05,0
Flatrock Heritage Foundation,Metro Arts & ABC 2004-05,Metro,2004-05,0
Friends of Centennial Park & Parthenon,Metro Arts & ABC 2004-05,Metro,2004-05,0
Friends of Warner Parks,Metro Arts & ABC 2004-05,Metro,2004-05,0
Frist Center for the Visual Arts,Metro Arts & ABC 2004-05,Metro,2004-05,"228,478"
From Nashville to the World,Metro Arts & ABC 2004-05,Metro,2004-05,0
Girl Scout Council,Metro Arts & ABC 2004-05,Metro,2004-05,0
Girls Write Nashville,Metro Arts & ABC 2004-05,Metro,2004-05,0
Global Education Center,Metro Arts & ABC 2004-05,Metro,2004-05,"41,000"
Global Nashville: Building Bridges of Compassion,Metro Arts & ABC 2004-05,Metro,2004-05,0
Gordon Jewish Community Center,Metro Arts & ABC 2004-05,Metro,2004-05,"20,000"
Grand Master Fiddler Championship,Metro Arts & ABC 2004-05,Metro,2004-05,0
Greater Nashville Arts Foundation,Metro Arts & ABC 2004-05,Metro,2004-05,0
Green Room Project,Metro Arts & ABC 2004-05,Metro,2004-05,0
Hands on with Zig,Metro Arts & ABC 2004-05,Metro,2004-05,0
Handweavers Guild,Metro Arts & ABC 2004-05,Metro,2004-05,0
Happy Healthy Creative Whole Me,Metro Arts & ABC 2004-05,Metro,2004-05,0
Harriet Beecher Stowe: A Literary Soldier,Metro Arts & ABC 2004-05,Metro,2004-05,0
Healing Arts Project Inc. (HAPI),Metro Arts & ABC 2004-05,Metro,2004-05,0
Henna Art and Bollywood Junction,Metro Arts & ABC 2004-05,Metro,2004-05,0
Hijab Ballet Showcase,Metro Arts & ABC 2004-05,Metro,2004-05,0
Historic Germantown,Metro Arts & ABC 2004-05,Metro,2004-05,0
Historic Nashville,Metro Arts & ABC 2004-05,Metro,2004-05,0
History Alive!,Metro Arts & ABC 2004-05,Metro,2004-05,0
Humanities Tennessee (formerly Tennessee Humanities Council),Metro Arts & ABC 2004-05,Metro,2004-05,0
Ideaprov,Metro Arts & ABC 2004-05,Metro,2004-05,"1,000"
Impressions Temporary Mural Project,Metro Arts & ABC 2004-05,Metro,2004-05,0
Indian Painting with Sabita,Metro Arts & ABC 2004-05,Metro,2004-05,0
Insight Salons,Metro Arts & ABC 2004-05,Metro,2004-05,0
International Folk Dancing,Metro Arts & ABC 2004-05,Metro,2004-05,0
Intersection,Metro Arts & ABC 2004-05,Metro,2004-05,0
JAI 2 HYPE - Just and Idea Arts Academy,Metro Arts & ABC 2004-05,Metro,2004-05,0
Jefferson Street Art Crawl,Metro Arts & ABC 2004-05,Metro,2004-05,0
Jefferson Street United Merchants Partnership (JUMP),Metro Arts & ABC 2004-05,Metro,2004-05,0
John Work Memorial Foundation,Metro Arts & ABC 2004-05,Metro,2004-05,0
Kids on the Block,Metro Arts & ABC 2004-05,Metro,2004-05,"3,000"
Lakewood Theatre Company,Metro Arts & ABC 2004-05,Metro,2004-05,"7,500"
Leonard Bernstein Center,Metro Arts & ABC 2004-05,Metro,2004-05,0
Lionheart Wellness Class and Dance-a-thon,Metro Arts & ABC 2004-05,Metro,2004-05,0
Lipscomb University,Metro Arts & ABC 2004-05,Metro,2004-05,0
Live Music in America,Metro Arts & ABC 2004-05,Metro,2004-05,"3,000"
Living Photo: Celebrating 100 Years of Old Hickory,Metro Arts & ABC 2004-05,Metro,2004-05,0
Local's Cut: Edgehill Village,Metro Arts & ABC 2004-05,Metro,2004-05,0
Lost Boys Foundation,Metro Arts & ABC 2004-05,Metro,2004-05,0
Luthern Services in Tennessee,Metro Arts & ABC 2004-05,Metro,2004-05,0
Madison Bluegrass Festival,Metro Arts & ABC 2004-05,Metro,2004-05,0
Mapping McGruder,Metro Arts & ABC 2004-05,Metro,2004-05,0
Martha O'Bryan Center,Metro Arts & ABC 2004-05,Metro,2004-05,0
Metro Education Access Corporation (MEAC),Metro Arts & ABC 2004-05,Metro,2004-05,0
Metro Nashville Chorus,Metro Arts & ABC 2004-05,Metro,2004-05,0
"Middle Tennessee Mental Health & Substance Abuse Coalition (program became indepent nonprofit Healing Arts Project, Inc.)",Metro Arts & ABC 2004-05,Metro,2004-05,0
Mockingbird Public Theatre,Metro Arts & ABC 2004-05,Metro,2004-05,0
Monroe Harding,Metro Arts & ABC 2004-05,Metro,2004-05,0
Moves & Grooves,Metro Arts & ABC 2004-05,Metro,2004-05,0
Music City Blues Society,Metro Arts & ABC 2004-05,Metro,2004-05,"14,300"
Music City Chorus,Metro Arts & ABC 2004-05,Metro,2004-05,0
Music City Youth Orchestra,Metro Arts & ABC 2004-05,Metro,2004-05,0
Music for L.I.F.E.,Metro Arts & ABC 2004-05,Metro,2004-05,0
Music For Seniors,Metro Arts & ABC 2004-05,Metro,2004-05,0
Music Programming for the Homeless,Metro Arts & ABC 2004-05,Metro,2004-05,0
Musical History of Joe Hill and the Early Labor Movement Davidson County Tour,Metro Arts & ABC 2004-05,Metro,2004-05,0
My Favorite Song!,Metro Arts & ABC 2004-05,Metro,2004-05,0
N-4ART,Metro Arts & ABC 2004-05,Metro,2004-05,0
Napier-Sudekum Community Identity,Metro Arts & ABC 2004-05,Metro,2004-05,0
Narrow Way Productions (NWP),Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville 5-Shot Shorts,Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville Artists Guild,Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville Ballet,Metro Arts & ABC 2004-05,Metro,2004-05,"118,951"
Nashville Children's Theatre,Metro Arts & ABC 2004-05,Metro,2004-05,"97,300"
Nashville Community Concerts,Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville Cultural Arts Project,Metro Arts & ABC 2004-05,Metro,2004-05,"7,500"
Sister Cities of Nashville,Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville Film Festival (formerly Sinking Creek Festival),Metro Arts & ABC 2004-05,Metro,2004-05,"70,233"
Nashville Gospel Ministry,Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville in Harmony,Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville Institute for the Arts,Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville Jazz Orchestra,Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville Jazz Workshop,Metro Arts & ABC 2004-05,Metro,2004-05,"29,360"
Nashville Makes Zines,Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville Opera Association,Metro Arts & ABC 2004-05,Metro,2004-05,"99,278"
Nashville Philharmonic Orchestra,Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville Please Don't Litter,Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville Public Library Foundation,Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville Public Radio,Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville Public Television,Metro Arts & ABC 2004-05,Metro,2004-05,"25,000"
Nashville Repertory Theatre (formerly Tennessee Repertory Theatre),Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville Screenwriter's Conference,Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville Shakespeare Festival,Metro Arts & ABC 2004-05,Metro,2004-05,"56,594"
Nashville Singers,Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville Swing Dance Foundation,Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville Symphony,Metro Arts & ABC 2004-05,Metro,2004-05,"406,088"
Nashville Talking Chairs,Metro Arts & ABC 2004-05,Metro,2004-05,0
Nashville Theatre Works,Metro Arts & ABC 2004-05,Metro,2004-05,0
NashvilleREAD,Metro Arts & ABC 2004-05,Metro,2004-05,0
National Museum of African American Music,Metro Arts & ABC 2004-05,Metro,2004-05,0
Native American Indian Association of Tennessee,Metro Arts & ABC 2004-05,Metro,2004-05,"20,450"
New Dialect,Metro Arts & ABC 2004-05,Metro,2004-05,0
New Vision,Metro Arts & ABC 2004-05,Metro,2004-05,0
"Next Door, Inc",Metro Arts & ABC 2004-05,Metro,2004-05,0
Norf Art Collective,Metro Arts & ABC 2004-05,Metro,2004-05,0
Oasis Center,Metro Arts & ABC 2004-05,Metro,2004-05,0
Old Hickory Village Centennial Celebration Time Capsule,Metro Arts & ABC 2004-05,Metro,2004-05,0
Old Time Music & Dance,Metro Arts & ABC 2004-05,Metro,2004-05,0
Orchestra Nashville/Nashville Chamber Orchestra,Metro Arts & ABC 2004-05,Metro,2004-05,"41,610"
Outside the Box,Metro Arts & ABC 2004-05,Metro,2004-05,0
OZ Arts Nashville,Metro Arts & ABC 2004-05,Metro,2004-05,0
PENCIL Foundation,Metro Arts & ABC 2004-05,Metro,2004-05,0
Peoples Branch Theatre,Metro Arts & ABC 2004-05,Metro,2004-05,"23,600"
Pikesproject (#Pikesproject),Metro Arts & ABC 2004-05,Metro,2004-05,0
Planned Parenthood of Middle Tennessee,Metro Arts & ABC 2004-05,Metro,2004-05,0
Plowhaus,Metro Arts & ABC 2004-05,Metro,2004-05,0
Porch Writers' Collective,Metro Arts & ABC 2004-05,Metro,2004-05,0
Poverty and the Arts,Metro Arts & ABC 2004-05,Metro,2004-05,0
Pro Musica,Metro Arts & ABC 2004-05,Metro,2004-05,0
Project 24,Metro Arts & ABC 2004-05,Metro,2004-05,0
Project Return,Metro Arts & ABC 2004-05,Metro,2004-05,0
Queens Among Us,Metro Arts & ABC 2004-05,Metro,2004-05,0
Race Relations Institute,Metro Arts & ABC 2004-05,Metro,2004-05,0
Rediscover East!,Metro Arts & ABC 2004-05,Metro,2004-05,0
Rejoice School of Ballet,Metro Arts & ABC 2004-05,Metro,2004-05,0
Ridley Temple Foundation,Metro Arts & ABC 2004-05,Metro,2004-05,0
Rocketown of Middle Tennessee,Metro Arts & ABC 2004-05,Metro,2004-05,0
Room in the Inn,Metro Arts & ABC 2004-05,Metro,2004-05,0
Ruby Green Foundation,Metro Arts & ABC 2004-05,Metro,2004-05,"6,000"
Salama Urban Ministries,Metro Arts & ABC 2004-05,Metro,2004-05,0
Salvation Army of Nashville,Metro Arts & ABC 2004-05,Metro,2004-05,0
Sankofa African Drum and Dance Company,Metro Arts & ABC 2004-05,Metro,2004-05,0
Saturday in the Arts Day Camp,Metro Arts & ABC 2004-05,Metro,2004-05,0
Scarritt-Bennett Center,Metro Arts & ABC 2004-05,Metro,2004-05,"24,750"
Senior Center for the Arts,Metro Arts & ABC 2004-05,Metro,2004-05,0
Sexual Assault Center,Metro Arts & ABC 2004-05,Metro,2004-05,0
Shelby Bottom String Band,Metro Arts & ABC 2004-05,Metro,2004-05,0
Social Movement Gallery,Metro Arts & ABC 2004-05,Metro,2004-05,0
Southern Word (formerly Youth Speaks Nashville),Metro Arts & ABC 2004-05,Metro,2004-05,0
St. Luke's Community House,Metro Arts & ABC 2004-05,Metro,2004-05,0
StageWorks,Metro Arts & ABC 2004-05,Metro,2004-05,0
Storytelling Project,Metro Arts & ABC 2004-05,Metro,2004-05,0
Street Style Project,Metro Arts & ABC 2004-05,Metro,2004-05,0
Street Theatre Company,Metro Arts & ABC 2004-05,Metro,2004-05,0
Sudan Acholi Community of Tennessee,Metro Arts & ABC 2004-05,Metro,2004-05,"9,265"
Tango Nashville,Metro Arts & ABC 2004-05,Metro,2004-05,0
Tennessee Association for the Preservation & Perpetuation of Storytelling (TAPPS),Metro Arts & ABC 2004-05,Metro,2004-05,0
Temple Academy of Music,Metro Arts & ABC 2004-05,Metro,2004-05,0
Tennessee Art League,Metro Arts & ABC 2004-05,Metro,2004-05,"2,000"
Tennessee Artists' Guild,Metro Arts & ABC 2004-05,Metro,2004-05,0
Tennessee Association of Craft Artists (DBA Tennessee Craft),Metro Arts & ABC 2004-05,Metro,2004-05,"13,764"
Tennessee Chamber Chorale,Metro Arts & ABC 2004-05,Metro,2004-05,0
Tennessee Committee for Prevention of Child Abuse,Metro Arts & ABC 2004-05,Metro,2004-05,0
Tennessee Committee of National Musuem of Women in the Arts,Metro Arts & ABC 2004-05,Metro,2004-05,0
Tennessee Dance Theatre,Metro Arts & ABC 2004-05,Metro,2004-05,0
Tennessee Fox Trot Carousel,Metro Arts & ABC 2004-05,Metro,2004-05,0
Tennessee Grassroots Festival,Metro Arts & ABC 2004-05,Metro,2004-05,0
Tennessee Jazz & Blues Society,Metro Arts & ABC 2004-05,Metro,2004-05,0
Tennessee Opera,Metro Arts & ABC 2004-05,Metro,2004-05,0
Tennessee Performing Arts Center,Metro Arts & ABC 2004-05,Metro,2004-05,"147,500"
"Tennessee Performing Arts Center, Rock Wedding",Metro Arts & ABC 2004-05,Metro,2004-05,0
Tennessee Repertory Theatre,Metro Arts & ABC 2004-05,Metro,2004-05,"34,171"
Tennessee Screenwriting Association,Metro Arts & ABC 2004-05,Metro,2004-05,0
Tennessee State Museum,Metro Arts & ABC 2004-05,Metro,2004-05,0
Tennessee Theatre Company,Metro Arts & ABC 2004-05,Metro,2004-05,0
Tennessee Women's Theatre Project,Metro Arts & ABC 2004-05,Metro,2004-05,0
Theater Bug,Metro Arts & ABC 2004-05,Metro,2004-05,0
Therapeutic and Creative Arts,Metro Arts & ABC 2004-05,Metro,2004-05,0
Travellers' Rest,Metro Arts & ABC 2004-05,Metro,2004-05,"1,000"
Turnip Green Creative Reuse,Metro Arts & ABC 2004-05,Metro,2004-05,0
Uhuru Dance Company,Metro Arts & ABC 2004-05,Metro,2004-05,0
UnLocked,Metro Arts & ABC 2004-05,Metro,2004-05,0
Untitled,Metro Arts & ABC 2004-05,Metro,2004-05,0
Unveiling the Voice Within,Metro Arts & ABC 2004-05,Metro,2004-05,0
"Vanderbilt University, Kennedy Center",Metro Arts & ABC 2004-05,Metro,2004-05,"2,500"
"Vanderbilt University, Sarratt Student Center",Metro Arts & ABC 2004-05,Metro,2004-05,"2,000"
Village Cultural Arts Center,Metro Arts & ABC 2004-05,Metro,2004-05,"25,000"
Village Records,Metro Arts & ABC 2004-05,Metro,2004-05,0
Visual Arts Alliance of Nashville (VAAN),Metro Arts & ABC 2004-05,Metro,2004-05,0
Voices on the Edge: Keeping and Including all of Edgehill,Metro Arts & ABC 2004-05,Metro,2004-05,0
Voices Unwavering,Metro Arts & ABC 2004-05,Metro,2004-05,0
Volunteers/Imprv. 20th Dist.,Metro Arts & ABC 2004-05,Metro,2004-05,0
VSA Arts Tennessee,Metro Arts & ABC 2004-05,Metro,2004-05,0
W.O. Smith Nashville Community Music School,Metro Arts & ABC 2004-05,Metro,2004-05,"40,000"
Wade,Metro Arts & ABC 2004-05,Metro,2004-05,0
Walking Within Your Creative Right,Metro Arts & ABC 2004-05,Metro,2004-05,0
"Watkins College of Art, Design & Film (formerly Watkins Institute)",Metro Arts & ABC 2004-05,Metro,2004-05,"42,836"
West End Middle School PTSO,Metro Arts & ABC 2004-05,Metro,2004-05,0
Who am I: Exploring the Self through Painting and Writing,Metro Arts & ABC 2004-05,Metro,2004-05,0
Women/Music/Entertainment,Metro Arts & ABC 2004-05,Metro,2004-05,0
Women's Veterans Expressive Arts Workshop and Symposium,Metro Arts & ABC 2004-05,Metro,2004-05,0
Woodbine Community Organization,Metro Arts & ABC 2004-05,Metro,2004-05,0
Word Box Project,Metro Arts & ABC 2004-05,Metro,2004-05,0
Wordsmith,Metro Arts & ABC 2004-05,Metro,2004-05,0
Working it Out,Metro Arts & ABC 2004-05,Metro,2004-05,0
Writing as Resistance,Metro Arts & ABC 2004-05,Metro,2004-05,0
Writers Stage,Metro Arts & ABC 2004-05,Metro,2004-05,0
Young People's Freedom Choir,Metro Arts & ABC 2004-05,Metro,2004-05,0
Youth Empowerment through the Arts & Humanities (YEAH!),Metro Arts & ABC 2004-05,Metro,2004-05,0
Youth Voices Breakout,Metro Arts & ABC 2004-05,Metro,2004-05,0
"YMCA of Middle Tennessee, artEmbrace",Metro Arts & ABC 2004-05,Metro,2004-05,0
Youth Life Foundation,Metro Arts & ABC 2004-05,Metro,2004-05,0
YWCA,Metro Arts & ABC 2004-05,Metro,2004-05,0
Zen Quilting Guild,Metro Arts & ABC 2004-05,Metro,2004-05,0
abrasiveMedia,Metro Arts & ABC 2005-06,Metro,2005-06,0
ACT I Theatre,Metro Arts & ABC 2005-06,Metro,2005-06,"3,625"
Acting Studio,Metro Arts & ABC 2005-06,Metro,2005-06,0
Actor's Bridge Ensemble Theatre of Nashville,Metro Arts & ABC 2005-06,Metro,2005-06,"24,413"
Actor's Playhouse,Metro Arts & ABC 2005-06,Metro,2005-06,0
Adventure Science Center,Metro Arts & ABC 2005-06,Metro,2005-06,0
Africa is…,Metro Arts & ABC 2005-06,Metro,2005-06,0
African American Cultural Alliance,Metro Arts & ABC 2005-06,Metro,2005-06,"1,000"
Afrofuturism Dance,Metro Arts & ABC 2005-06,Metro,2005-06,0
ALIAS Chamber Ensemble,Metro Arts & ABC 2005-06,Metro,2005-06,"1,985"
American Artisan Festival,Metro Arts & ABC 2005-06,Metro,2005-06,0
American Negro Playwright Theatre,Metro Arts & ABC 2005-06,Metro,2005-06,0
American Roots Music Education,Metro Arts & ABC 2005-06,Metro,2005-06,"9,300"
Andrew Jackson's Hermitage,Metro Arts & ABC 2005-06,Metro,2005-06,0
Art and Nature Adventures,Metro Arts & ABC 2005-06,Metro,2005-06,0
Arte de Libertad/Freedom Arts,Metro Arts & ABC 2005-06,Metro,2005-06,0
Arts and Business Council of Greater Nashville,Metro Arts & ABC 2005-06,Metro,2005-06,0
Arts in the Airport,Metro Arts & ABC 2005-06,Metro,2005-06,0
ArtSynergy,Metro Arts & ABC 2005-06,Metro,2005-06,0
Asian American Performing Arts Society (DBA Dance Theatre of Tennessee),Metro Arts & ABC 2005-06,Metro,2005-06,0
Athena Fund,Metro Arts & ABC 2005-06,Metro,2005-06,0
AthensSouth Theatre,Metro Arts & ABC 2005-06,Metro,2005-06,0
Beautiful Brown Faces,Metro Arts & ABC 2005-06,Metro,2005-06,0
Belcourt Theatre,Metro Arts & ABC 2005-06,Metro,2005-06,"38,440"
Belle Meade Plantation,Metro Arts & ABC 2005-06,Metro,2005-06,0
"Bellevue Edible Learning Lab, Inc.",Metro Arts & ABC 2005-06,Metro,2005-06,0
Bellevue Exchange Club,Metro Arts & ABC 2005-06,Metro,2005-06,0
Bethlehlem Center,Metro Arts & ABC 2005-06,Metro,2005-06,0
Blackbird,Metro Arts & ABC 2005-06,Metro,2005-06,0
Blackbird Theatre,Metro Arts & ABC 2005-06,Metro,2005-06,0
Blair School of Music,Metro Arts & ABC 2005-06,Metro,2005-06,0
Boys & Girls Club of Middle Tennessee (fiscal sponsor for Notes for Notes),Metro Arts & ABC 2005-06,Metro,2005-06,0
Bridging Two Rivers,Metro Arts & ABC 2005-06,Metro,2005-06,0
BroadAxe Theatre Inc.,Metro Arts & ABC 2005-06,Metro,2005-06,0
C.A.L.L. Project,Metro Arts & ABC 2005-06,Metro,2005-06,0
C.O.L.O.R. Project,Metro Arts & ABC 2005-06,Metro,2005-06,0
CAAC Dance,Metro Arts & ABC 2005-06,Metro,2005-06,0
Center for Refugees & Immigrants in Tennessee,Metro Arts & ABC 2005-06,Metro,2005-06,0
Centerstone,Metro Arts & ABC 2005-06,Metro,2005-06,"3,500"
Cheekwood,Metro Arts & ABC 2005-06,Metro,2005-06,"204,340"
Children's Arts & Ideas,Metro Arts & ABC 2005-06,Metro,2005-06,0
Chinese Arts Alliance of Nashville,Metro Arts & ABC 2005-06,Metro,2005-06,"7,448"
Choral Arts Link,Metro Arts & ABC 2005-06,Metro,2005-06,0
Circle Players,Metro Arts & ABC 2005-06,Metro,2005-06,0
Civil Rap Movement,Metro Arts & ABC 2005-06,Metro,2005-06,0
Cleveland Park Community Mural,Metro Arts & ABC 2005-06,Metro,2005-06,0
Cleveland Park Neighborhood Story Project,Metro Arts & ABC 2005-06,Metro,2005-06,0
Community Concerts Inc.,Metro Arts & ABC 2005-06,Metro,2005-06,0
Community Resource Center,Metro Arts & ABC 2005-06,Metro,2005-06,0
Concert Chorale,Metro Arts & ABC 2005-06,Metro,2005-06,0
Conexion Americas,Metro Arts & ABC 2005-06,Metro,2005-06,0
Country Music Foundation (DBA Country Music Hall of Fame and Museum),Metro Arts & ABC 2005-06,Metro,2005-06,"195,012"
Creative Artists of Tennessee (CATS),Metro Arts & ABC 2005-06,Metro,2005-06,"10,279"
Cultural Arts Enrichment Program,Metro Arts & ABC 2005-06,Metro,2005-06,0
Cumberland Garden Communitiy Mural,Metro Arts & ABC 2005-06,Metro,2005-06,0
Cumberland View Community Mural,Metro Arts & ABC 2005-06,Metro,2005-06,0
Cumberland Science Museum,Metro Arts & ABC 2005-06,Metro,2005-06,0
Curating a Public Self,Metro Arts & ABC 2005-06,Metro,2005-06,0
Dancing Through the Curriculum,Metro Arts & ABC 2005-06,Metro,2005-06,0
Davidson County 4-H,Metro Arts & ABC 2005-06,Metro,2005-06,0
Destellos,Metro Arts & ABC 2005-06,Metro,2005-06,0
Discover Madison,Metro Arts & ABC 2005-06,Metro,2005-06,0
"Dr. George W. Carver's Theatre of Arts, Life, and Longevity",Metro Arts & ABC 2005-06,Metro,2005-06,0
Drum and a Dream,Metro Arts & ABC 2005-06,Metro,2005-06,0
Drumnastics,Metro Arts & ABC 2005-06,Metro,2005-06,0
EarthTone,Metro Arts & ABC 2005-06,Metro,2005-06,0
